time_published,title,summary,overall_sentiment_score,relevance_score
20220110T165716,Hesai Technology showcased new automotive-grade hybrid solid-state Lidar AT128,"Hesai Technology showcased its new automotive-grade hybrid solid-state lidar AT128 at CES 2022. This long-range sensor is designed for L3+ ADAS applications in mass production vehicles, featuring image-level resolution, superior ranging capability, and automotive-grade reliability, with mass production slated for 2022. Hesai also unveiled the QT128, a short-range lidar aimed at L4 applications, entering mass production in Q1 2023.",0.436802,0.627042
20220110T173624,Maze Therapeutics Nets $190M to Propel Precision Medicine Programs,"Maze Therapeutics secured $190 million in financing to advance its precision medicine pipeline, which includes nine programs. The company, founded in 2019, focuses on developing treatments for diseases like Pompe disease, Phenylketonuria, ALS, and chronic kidney disease, leveraging insights from human genetics. Matrix Capital Management led the new investment round, and Andy Tran from Matrix Capital Management joined Maze's board.",0.259664,0.633528
20220114T083100,"These 3 ETFs let you play the hot semiconductor sector, where Nvidia, Micron, AMD and others are growing sales rapidly","This article highlights three ETFs that allow investors to gain exposure to the rapidly growing semiconductor sector, which includes companies like Nvidia, Micron, and AMD. Despite concerns about rising interest rates, the semiconductor industry continues to show strong growth, as evidenced by Taiwan Semiconductor Manufacturing Co.'s impressive Q4 sales and earnings report. The chip-focused exchange-traded funds have significantly outperformed both the S&P 500 and the Nasdaq over the past 15 years.",0.669639,0.890702
20220114T083100,"These 3 ETFs let you play the hot semiconductor sector, where Nvidia, Micron, AMD and others are growing sales rapidly","This article highlights three ETFs that offer investors exposure to the rapidly growing semiconductor sector, featuring companies like Nvidia, Micron, and AMD. The chip-focused exchange-traded funds have significantly outperformed the S&P 500 and Nasdaq over the past 15 years, indicating their strong performance potential despite market pressures. The article also mentions Taiwan Semiconductor Manufacturing Co. (TSM) reporting robust fourth-quarter sales and earnings, reinforcing the sector's positive outlook.",-0.12217,0.829934
20220124T183638,Silicon Labs Integrates AI/ML Acceleration in Low-power Wireless SoCs,"Silicon Labs has released two new families of wireless SoCs, BG24 and MG24, that integrate AI/ML accelerators for low-power IoT edge processing. These SoCs support a wide range of protocols and offer significant power reduction and speed increase for AI/ML applications. The company also introduced a software platform to aid developers in deploying AI/ML algorithms for various use cases, including smart home applications and medical devices.",0.357497,0.610405
20220127T191612,Western Digital Taps Semiconductor Veteran for CFO Job,"Western Digital has appointed Wissam Jabre, a semiconductor industry veteran, as its new Chief Financial Officer. This move aligns with the hard-drive manufacturer's strategy to expand its memory-chip business. Mr. Jabre previously served as CFO at Dialog Semiconductor PLC and held finance roles at Advanced Micro Devices Inc. and Freescale Semiconductor Inc.",0.184872,0.743216
20220128T184644,Reference design offers wireless docking over Wi-Fi 6E for PCs,"Synaptics Incorporated has introduced Gemini, a reference design that offers wireless docking over Wi-Fi 6E for PCs, claiming it's the world's first true Wi-Fi 6/6E wireless docking experience for laptops. This technology enables full dual-4K display capability and ultra-low latency, comparable to wired connections, and integrates hardware and software components like the BCM43752 Wi-Fi 6/6E radio and DL-1950 video interface IC. While initially focused on PC docking, Gemini's applications extend to tablets, gaming, and VR, with analyst Patrick Moorhead highlighting its potential to revolutionize connectivity in hybrid work environments.",0.310425,0.560022
20220131T173632,Cadence Platform Accelerates Microchip’s Data Center Solutions SoC Development,"Microchip Technology Inc. has adopted Cadence's Palladium Z2 Enterprise Emulation Platform for the development of its next-generation ASIC products, specifically targeting high-performance and scalable SoC solutions for data centers. The Palladium Z2 platform offers Microchip 2X better emulation capacity and 1.5X greater performance, alongside seamless integration with Cadence's Protium Enterprise Prototyping system. This adoption significantly accelerates Microchip's time-to-market and quality requirements for complex multi-chip systems.",0.61279,0.629483
20220201T163127,ETF Flows Cool Off as Stocks Stumble Out of the Gate,"January 2022 saw a significant cool-off in ETF flows and a stumble in stock markets globally, marking the worst monthly showing for the Morningstar Global Markets Index since March 2020. Fixed-income ETFs also experienced outflows, their first since March 2020, as investors reallocated their money amidst interest rate hike predictions and a strong performance from the energy sector. Vanguard dominated ETF provider flows, while drug and digital-asset focused ETFs appeared cheap, reflecting market turbulence and potential undervaluation.",0.177373,0.925741
20220203T134700,Alphabet eyes $2 trillion value after blowout results,"Alphabet Inc. is on the verge of joining Apple and Microsoft in the $2 trillion market valuation club after a strong quarterly report led to an over 8% surge in its shares. The company also announced a 20-to-1 stock split, aiming to make shares more accessible to retail investors. At least 20 brokerages raised their price targets on Alphabet's stock.",0.356402,0.64337
