time_published,title,summary,overall_sentiment_score,relevance_score
20220103T200000,Smart Water for a Smarter Home: Moen Leads the Way with Industry's First Whole-Home Connected Water Product Suite,"Moen introduces the industry's first whole-home smart water ecosystem, the Moen Smart Water Network, which allows consumers to control, monitor, and conserve water throughout their homes using a single smartphone app. The network includes new and expanded smart products like the Flo Smart Water Monitor and Shutoff, Smart Leak Detector, Smart Sump Pump Monitor, Smart Faucet with Motion Control, and Smart Shower, all designed to provide peace of mind, security, and personalized water experiences. These innovations offer automated water security, water usage education, personalized settings, and voice activation capabilities for a truly connected home water system.",0.274562,0.74796
20220106T161500,Marin Software Announces Amazon DSP Integration to Expand Amazon Advertising Solutions,"Marin Software announced an integration with Amazon Ads' demand-side platform (DSP), allowing brands to manage, measure, and optimize their Amazon Advertising campaigns within the MarinOne platform. This integration expands Marin Software's offerings to include display, video, and audio ads, enabling advertisers to reach Amazon audiences at scale across various platforms. The expanded suite of tools helps advertisers drive higher efficiency and transparency in their Amazon advertising programs, connecting upper-funnel ad spend with in-store purchases.",0.364699,0.731403
20220106T171605,Machine Customers Will Decide Who Gets Their Trillion-Dollar Business. Is It You?,"The article explores the rise of ""machine customers"" and their potential to drive a trillion-dollar business opportunity. It outlines how these nonhuman entities, ranging from bound to autonomous customers, make purchasing decisions differently from humans by being transparent, processing vast amounts of data, and prioritizing efficiency over emotional loyalty. Businesses must adapt their corporate strategy, sales, marketing, and data analytics to cater to this evolving market.",0.285113,0.629337
20220110T105200,Tech Moves: Adaptive CFO to resign; Meta comms exec departs; AI vet joins Absci board; new Zymeworks CEO,"This article details several significant personnel changes in the tech and biotech sectors, including Chad Cohen's resignation as CFO of Adaptive Biotechnologies, Joseph Sirosh's appointment to the Absci board, John Pinette's departure from Meta, and Kenneth Galbraith becoming the new CEO of Zymeworks. It highlights the impact of these moves on the respective companies and their financial performance or strategic direction.",0.187669,0.625111
20220112T200000,Tuvalu: Strikes deal with GoDaddy to manage .tv - ABC Pacific,"Tuvalu has signed a new deal with US internet giant GoDaddy to manage its valuable .tv domain name, expecting a significant increase in revenue from the previous US$5 million per year received from Verisign. The .tv domain's value has surged due to its association with streaming platforms like Twitch, ensuring a key revenue source for the Pacific Island nation. The Tuvalu Telecommunications Corporation aims for greater benefits for its people and economy from this new agreement.",0.313066,0.612032
20220113T162229,Behind the Scenes With Cigna Ventures: Giving Great Ideas the Momentum To Make an Impact,"Cigna Ventures, the strategic venture fund of Cigna Corporation, focuses on improving health care affordability, simplicity, and predictability by partnering with innovative entrepreneurs. The fund invests across three key areas: Health Care Insights and Analytics, Digital Health and Experiences, and Care Delivery and Enablement. Through these investments, Cigna Ventures aims to accelerate Cigna's strategy, bring innovation into the organization, and bring differentiated value to Cigna customers and the healthcare system.",0.292144,0.55097
20220113T170626,How retailers can meet consumers’ growing demand for sustainability and hybrid shopping experiences,"A new global study from IBM IBV and NRF reveals that consumer preferences have shifted significantly, with a growing demand for hybrid shopping experiences and sustainability. Retailers must adapt by offering personalized experiences, transparent supply chains, and agile operations, leveraging technologies like AI and hybrid cloud. While consumers express a willingness to pay more for sustainable products, there's still a gap between their intentions and actual purchasing behavior, which can be addressed through greater transparency.",0.314092,0.61175
20220114T234200,"Netflix raises monthly subscription prices in U.S., Canada","Netflix has increased its monthly subscription prices in the U.S. and Canada by $1 to $2, depending on the plan, to fund new programming and maintain competitiveness in the streaming market. The standard U.S. plan now costs $15.49, up from $13.99, while the Canadian standard plan rose to C$16.49 from C$14.99. These increases, the first since October 2020 in these markets, reflect Netflix's pricing power as it faces growing competition from other major streaming services.",0.037793,0.609217
20220116T121900,"Renovations to Give Shopping Center New Stores, New Look","The Huntington Shopping Center is undergoing a $75 million renovation by Federal Realty, which will bring new stores, including a Whole Foods Market, outdoor seating, and new entrances. The project, expected to be completed in 2024, will update facades, reconstruct parking lots, and add new landscaping. Long-standing tenants like PetSmart and ULTA will remain, while BuyBuy Baby, Five Guys, and Applebee’s are departing.",0.349936,0.721405
20220117T022800,Costco named MMR Retailer of the Year,"Costco Wholesale Corp. has been named MMR’s Retailer of the Year for its efficient business model, strong financial performance, and ability to provide an enjoyable shopping experience despite challenges. The company reported significant sales and net income increases in fiscal 2021 and the first quarter of fiscal 2022, driven by its limited product selection, operating efficiencies, and expansion efforts. Costco's Kirkland Signature brand and growing e-commerce presence also contributed to its strong growth and profitability.",0.319866,0.594341
20220117T164613,Federal Realty Maps Out Huntington Retail Redevelopment,"Federal Realty Investment Trust is undertaking a $75-million redevelopment of the Huntington Shopping Center in Huntington Station, NY. The project will include significant aesthetic and structural updates, such as new facades, reconstructed parking, landscaping, and outdoor seating. A key part of the redevelopment is the addition of a Whole Foods, aiming to reinvigorate the center and provide essential retail services to the community.",0.250818,0.645655
20220118T164656,Securities Litigation Team Secures Dismissal of Shareholder Class Action Against GoodRx,"Latham & Watkins LLP successfully secured the dismissal of a shareholder class action against GoodRx. The court's decision, issued on January 6, 2022, dismissed all claims, establishing a precedent that damages in Section 11 cases are calculated based on stock price rather than alleged value. The case centered on allegations that GoodRx made misleading statements about Amazon's entry into the prescription discount market.",0.226352,0.734569
20220120T095000,"As talent war wages on, Hilton adds continuing education for thousands of employees to its benefits arsenal","Hilton is expanding its employee benefits by adding continuing education opportunities for thousands of its workers. This move follows a trend set by other large corporations like Amazon, as companies continue to compete for talent. Hilton, headquartered in McLean, aims to enhance its benefits arsenal amidst an ongoing talent war.",0.389767,0.729865
20220120T191633,Plastics produce underground success of Advanced Drainage Systems in Hilliard,"Advanced Drainage Systems (ADS), based in Hilliard, has achieved significant success with its plastic drainage systems, generating $1.9 billion in annual revenue last year. The company specializes in stormwater management systems for commercial, residential, and agricultural purposes, and is a major plastic recycler in the U.S., diverting over 510 million pounds of plastic from landfills annually. ADS actively collaborates with organizations like The Recycling Partnership and contributes to local Hilliard initiatives for environmental stewardship and sustainable stormwater solutions.",0.254276,0.630352
