time_published,title,summary,overall_sentiment_score,relevance_score
20220104T055800,Chinese Tech Giant Baidu is Launching its Own Version of the Metaverse; Here’s How,"Baidu, China's largest search engine, is developing its own metaverse platform called XiRang, which formally launched last week, though a full rollout could take over six years. The platform allows users to interact in a shared online space with personalized avatars and virtual attractions, supporting up to 100,000 users and accessible only to Chinese developers currently. Despite the ambitious plans and a high demand for online interaction in China, regulatory hurdles, particularly regarding digital assets, mean Baidu's metaverse will not support cryptocurrencies.",0.125835,1.0
20220107T151035,Baidu to launch Level 2 autonomous car in 2023,"Baidu, the Chinese internet and AI giant, plans to launch a Level-2 autonomous electric vehicle in 2023 through its joint venture with Geely, Jidu Auto. The vehicle will feature self-driving technology powered by Nvidia chips and aims to capitalize on the growing global demand for EVs. This move positions Baidu among other tech companies, including Huawei, Alibaba, Tencent, and Apple, entering the EV market.",0.008815,0.301082
20220113T133000,"BAIDU, INC. (NASDAQ: BIDU) SHAREHOLDER CLASS ACTION ALERT:","Bernstein Liebhard LLP has announced a securities class action lawsuit against Baidu Inc. (NASDAQ: BIDU) on behalf of investors who purchased securities between March 22, 2021, and March 29, 2021. The lawsuit alleges that Goldman Sachs Group Inc. and Morgan Stanley unlawfully traded Baidu shares using non-public information related to Archegos Capital Management's margin call failure, causing losses for Baidu investors. Investors are invited to join the lawsuit, with a lead plaintiff deadline of February 14, 2022.",-0.380678,1.0
20220118T041300,"China’s autonomous driving enters fast lane, boosted by NEV growth and favorable policies","China's autonomous driving sector is rapidly advancing due to robust new energy vehicle (NEV) growth and supportive government policies, despite the COVID-19 pandemic. Cities like Shanghai are implementing measures to commercialize self-driving technology, including pilot programs for Robotaxi services and legislative support for operations without in-car safety operators. Chinese companies are not only accelerating commercialization domestically, but also expanding into overseas markets, positioning China to potentially lead the global autonomous driving industry.",0.345885,0.945066
20220212T141942,"FINAL DEADLINE MONDAY: ROSEN, GLOBAL INVESTOR COUNSEL,","The Rosen Law Firm is reminding investors who purchased Baidu Inc. (NASDAQ: BIDU) securities between March 22, 2021, and March 29, 2021, of the February 14, 2022, lead plaintiff deadline for a securities class action lawsuit. The lawsuit alleges that Goldman Sachs and Morgan Stanley illegally sold a large number of Baidu shares during the Class Period while possessing material, non-public information regarding Archegos Capital Management's forced liquidation of its Baidu position, causing significant losses for other investors. Investors with losses are encouraged to secure counsel, with the Rosen Law Firm highlighting its track record in securities class actions.",-0.246739,1.0
20220217T070000,"Baidu Brings Apollo Go Robotaxi Service to Downtown Shenzhen, Expanding Presence to All First-tier Cities in China","Baidu's Apollo Go robotaxi service has launched trial operations in Shenzhen's Nanshan District, making Shenzhen the seventh city in China to offer the service. This expansion marks Baidu's presence in all first-tier cities in China and highlights its goal to accelerate the development of intelligent transportation. Baidu aims to expand Apollo Go operations to 65 cities by 2025 and 100 cities by 2030, offering autonomous ride-hailing to a wider user base.",0.419133,1.0
20220218T141942,China’s Baidu Launches Self-Driving Taxis in Densely Populated Shenzhen,"Baidu has launched its self-driving taxi service, Apollo Go, in Shenzhen, marking its first deployment in a densely populated Chinese urban area. The service uses 50 pick-up and drop-off stations and allows users to hail vehicles via a smartphone app. While human drivers are currently present for safety, Baidu plans significant expansion, aiming for 65 cities by 2025 and 100 by 2030, putting China at the forefront of autonomous vehicle development.",0.10129,1.0
20220301T132435,Baidu Stock Jumps Even as Earnings Miss Estimates. Here’s What to Like.,"Baidu's stock jumped despite missing earnings estimates, driven by growth in its cloud computing and artificial intelligence segments. This growth is helping the Chinese tech giant navigate a slowdown in its core business. The company, like others in the Chinese tech sector, is facing macroeconomic headwinds.",0.408075,1.0
20220302T132435,Infographic: A snapshot of Baidu’s (BIDU) Q4 2021 earnings,"Baidu Inc. reported lower earnings for the fourth quarter of 2021, despite a 9% increase in revenues to RMB33.1 billion ($5.2 billion). The revenue growth was driven by its non-advertising business, particularly the Baidu AI Cloud. However, adjusted earnings declined to RMB11.60 per ADS ($1.82 per ADS) compared to the prior year.",-0.202483,1.0
20220303T093700,"Baidu Launches AI Platform to Enable on-Device, Real-Time Translation from Speech to Hand Gestures","Baidu AI Cloud has launched a new AI sign language platform, XiLing, capable of generating digital avatars for real-time sign language translation and live interpretation. This platform, along with two all-in-one translators, aims to bridge the communication gap for the deaf and hard-of-hearing community in China, which faces a severe shortage of human sign language interpreters. The technology addresses complexities in sign language translation, including speech recognition clarity, translation accuracy, and fluency of sign language movements, enabling new accessibility for DHH individuals in various online and offline scenarios.",0.520895,1.0
