time_published,title,summary,overall_sentiment_score,relevance_score
20220103T160500,ICF Completes Acquisition of Creative Systems and Consulting,"ICF (NASDAQ: ICFI) has announced the completion of its acquisition of Creative Systems and Consulting, a leading provider of IT modernization and digital transformation solutions for U.S. federal agencies. Creative, founded in 2010, brings expertise in Salesforce, Microsoft, and ServiceNow platforms, which complements ICF's existing capabilities. This acquisition aims to enhance ICF's digital transformation services for its federal government clients.",0.281452,0.601
20220105T153740,Octo Acquires Digital Transformation Leader B3 Group,"Octo, a federal IT modernization provider, has acquired B3 Group, Inc., a digital transformation company specializing in low-code/no-code platforms and cloud engineering. This acquisition expands Octo's reach into the U.S. Department of Veterans Affairs (VA), bolstering its position in the federal health market and enhancing its ability to provide advanced IT modernization services across various federal agencies. The integration of B3's expertise and programs, including the Digital Transformation Center (DTC) contract, will strengthen Octo's oLabs environment and offer improved digital solutions to federal customers.",0.303921,0.721579
20220105T180829,Miro Raises $400M in Series C Funding Round to Accelerate Innovation Through Visual Collaboration in the New Hybrid Workplace,"Miro, an online platform for visual collaboration, has closed a $400M Series C funding round, bringing its total funding to $476M and valuing the company at $17.5B. This investment will fuel product development and global expansion as Miro aims to further support organizations in unlocking creativity and strengthening collaboration in the new hybrid workplace. The company has seen significant growth since its Series B round in April 2020, increasing its user base to 30M and working with 99% of Fortune 100 companies.",0.243523,0.729689
20220106T151544,"Deloitte Trains More Than 1,000 College Students Through its Salesforce Bootcamp, Delivering on Ongoing Commitment to Expanding Talent in Salesforce Ecosystem","Deloitte announced it has trained over 1,000 college students through its Salesforce Bootcamps via the Deloitte Digital Salesforce Academy (DDSA). This program aims to bridge the gap between college students seeking business and technology careers and the demand for Salesforce-skilled talent. The bootcamps offer foundational Salesforce training, career exploration, and preparation for certifications, helping students secure roles within the growing Salesforce ecosystem and Deloitte.",0.772164,0.97435
20220110T153740,ServiceNow vs Salesforce: Which Is Best for You?,"This article compares ServiceNow and Salesforce, two leading enterprise software solutions, detailing their core functionalities, target users, and market positions. Salesforce excels in customer relationship management (CRM), sales, and marketing, providing a 360-degree view of the customer. ServiceNow specializes in IT service management (ITSM) and workflow automation across IT, employee, and customer operations. While they have areas of overlap, they primarily serve distinct purposes and can even be deployed together for comprehensive enterprise management.",0.242245,0.939955
20220110T171500,"Oracle Corp. stock rises Monday, outperforms market","Oracle Corp. (ORCL) stock increased by 2.02% to $89.28 on Monday, outperforming the broader market downturn where the S&P 500 Index and Dow Jones Industrial Average fell. This marks the stock's second consecutive day of gains, although it remains $17.06 short of its 52-week high. Oracle's performance was mixed compared to competitors like Microsoft, Adobe, and Salesforce.com, and trading volume exceeded its 50-day average.",0.195128,0.646861
20220111T090000,GyanSys Acquires Leading Vancouver-Based Salesforce Partner Groundswell Cloud Solutions,"GyanSys Inc. has acquired Groundswell Cloud Solutions, a Vancouver-based Salesforce partner, to enhance its Salesforce advisory and implementation services. This acquisition boosts GyanSys' Salesforce practice to over 250 professionals with significant certifications and project experience, expanding its presence in the U.S. and Canada and strengthening its partnership with Salesforce.",0.739973,0.960803
20220111T175611,NVIDIA Named America’s Best Place to Work on Latest Glassdoor List,"NVIDIA has been ranked as America's best place to work on Glassdoor’s 14th annual Best Places to Work list for large U.S. companies in 2022. The ranking is based on anonymous employee feedback, with 95% of NVIDIA employees recommending the company and 98% approving of CEO Jensen Huang. This recognition highlights NVIDIA's commitment to employee satisfaction amid evolving workplace expectations.",0.387511,0.635988
20220112T150838,"Datto Hires Splunk, Qlik Veteran Brooke Cunningham as CMO -","Datto has appointed Brooke Cunningham, a veteran from Splunk and Qlik, as its new Chief Marketing Officer. This strategic hire aligns with Datto's ongoing expansion beyond its traditional storage offerings into cloud-based software and security solutions for Managed Service Providers (MSPs). Cunningham's experience in scaling businesses and nurturing partner ecosystems, particularly in the security technology sector, is expected to support Datto's accelerated growth and its commitment to the MSP community.",-0.144779,0.635892
20220112T153740,ServiceNow crowned Glassdoor’s best place to work in UK,"Software company ServiceNow has been named the UK's best place to work in 2022 by Glassdoor, based on positive anonymous employee feedback regarding its culture, opportunities, and training. Technology companies dominated the list, with seven in the top ten, reflecting a shift in employee expectations post-pandemic. Glassdoor's 2022 methodology also included employers' diversity and inclusion ratings for the first time.",0.348163,0.601114
20220113T151544,PayPal Deepens Relationship with Salesforce to Help Global Merchants Optimize their Ecommerce Experience,"PayPal is expanding its relationship with Salesforce, enabling global merchants to integrate PayPal's checkout options directly into their e-commerce experiences. This expanded integration will provide access to Venmo, PayPal Credit, and PayPal’s Buy Now, Pay Later products, building on existing access to PayPal and Braintree through the Salesforce AppExchange. The partnership aims to help merchants increase conversion rates, foster repeat shoppers, and broaden their customer base by offering diverse payment methods.",0.445741,1.0
20220114T162715,How Marc Benioff is transforming Time magazine,"Marc Benioff's acquisition of Time magazine, initially seen as a vanity purchase, is proving transformative, with the company projecting 30% revenue growth to over $200 million, largely driven by a new studios unit. Benioff has restructured Time around a product-centric ethos, similar to Salesforce, and aims for profitability and to become the world's ""number one media brand."" He views business as a catalyst for change, evidenced by Time's upcoming sustainability initiative.",0.030617,0.32224
20220118T114900,BlackRock CEO Larry Fink says stakeholder capitalism is not 'woke',"Larry Fink, CEO of BlackRock, defended stakeholder capitalism against criticism, asserting it is not ""woke"" but rather a strategy for generating profit. In his annual letter to CEOs, Fink emphasized that focusing on sustainability is a capitalist and fiduciary responsibility, not a political or ideological agenda. He also clarified that BlackRock's approach doesn't involve divestment from fossil fuels, despite pressure from environmental groups, and noted the firm's engagement in China as a significant opportunity.",0.144207,0.639439
20220118T162714,Accenture named a Leader in Worldwide Salesforce Implementation Services,"Accenture has been recognized as a Leader in the IDC MarketScape: Worldwide Salesforce Implementation Services 2021 Vendor Assessment for the fifth consecutive time. The report highlights Accenture's differentiation in its current offerings and future growth strategy, attributing its success to its industry knowledge, technical expertise, and ability to help clients achieve desired business outcomes in an increasingly complex Salesforce ecosystem. With over 34,000 Salesforce-skilled people and 40,000+ certifications, Accenture continues to drive innovation for its clients on the Salesforce platform.",0.42533,1.0
20220119T162714,Systems Integrator GyanSys Acquires Salesforce Partner Groundswell Cloud Solutions -,"GyanSys, an Indiana-based systems integrator, has acquired Groundswell Cloud Solutions, a Salesforce and Mulesoft cloud consulting partner. This acquisition significantly enhances GyanSys' Salesforce consulting capabilities, adding over 250 Salesforce professionals and expanding its geographical reach across the US and Canada. The deal is part of a trend of M&A activities in the Salesforce cloud consulting partner ecosystem.",0.343631,0.925856
