time_published,title,summary,overall_sentiment_score,relevance_score
20220103T151549,Artificial Intelligence at Cisco – Two Current Use-Cases,"Cisco is leveraging artificial intelligence in two key areas: real-time translations for virtual meetings and AI-enhanced intent-based networking. Real-time translations, available in over 100 languages via Webex, aim to overcome language barriers and foster better collaboration. AI-enhanced intent-based networking uses natural language processing, machine learning, and machine reasoning to automate network management, improve reliability, and detect threats.",0.023698,0.338663
20220103T154335,"5G Market To Witness Huge Growth By 2027 | Qualcomm, Verizon Communications, AT&T","A new report by HTF Market Intelligence Consulting Pvt. Ltd. forecasts significant growth in the Global 5G Market by 2027. The comprehensive study analyzes the competitive landscape, market statistics, and qualitative information, providing insights into key business segments, end-use applications, and regional performance. Major players like Qualcomm, Verizon Communications, AT&T, and Ericsson are highlighted in this market analysis.",0.246797,0.607749
20220104T154727,‘Ruthless’ Vice Society claims responsibility for Spar ransomware attack,"The ransomware group Vice Society has claimed responsibility for an attack that disrupted card payment systems in 600 UK Spar branches, which are supplied by James Hall and Company. Known for targeting critical infrastructure like schools and hospitals, Vice Society reportedly exploited the PrintNightmare vulnerability, a common entry method for the group. The appearance of stolen data on the dark web suggests that no ransom was paid in the incident.",-0.161843,0.619374
20220105T151549,Collaboration startup Miro joins the unicorn club with $400M funding round and $17.5B valuation,"Miro, a collaboration startup known for its digital whiteboard, has achieved unicorn status after closing a $400 million Series C funding round, bringing its valuation to $17.5 billion. The company has seen significant user and customer growth, expanding its paid customer base from 20,000 to 130,000 and focusing on the enterprise market with new offices and increased headcount. This funding will support product development and further cultivation of its enterprise customer base.",0.025043,0.346407
20220105T180829,Miro Raises $400M in Series C Funding Round to Accelerate Innovation Through Visual Collaboration in the New Hybrid Workplace,"Miro, an online platform for visual collaboration, has closed a $400M Series C funding round, bringing its total funding to $476M and valuing the company at $17.5B. This investment will fuel product development and global expansion as Miro aims to further support organizations in unlocking creativity and strengthening collaboration in the new hybrid workplace. The company has seen significant growth since its Series B round in April 2020, increasing its user base to 30M and working with 99% of Fortune 100 companies.",0.255285,0.600286
20220107T151550,Have you modernized your critical water infrastructure?,"This article discusses the critical need for modernizing water infrastructure in the face of widespread drought and climate change, particularly in the United States. It highlights how smart technologies, like those offered by Cisco, can digitize water management, reduce waste, and provide real-time data for better decision-making, as demonstrated by the success story in Idaho's Water District 63. The author advocates for investments in secure Operational Technology networks to enable a broader digital transformation of public infrastructure.",0.345696,1.0
20220107T160614,Optical lovebirds eye a $14 billion market opportunity,"The merger between ADTRAN and ADVA is nearing completion, with ADTRAN shareholders approving the deal. The combined company anticipates a significant increase in its total addressable market to almost $14 billion, driven by growth opportunities in North America and Europe, and expects to boost sales by 50% in a few years. Despite the challenges of integration, both CEOs are optimistic about building a global leader in fiber networking solutions.",0.226701,0.55531
20220110T151639,The Top Ten Asia-Pacific FCPA Enforcement Actions of 2021,"This article reviews the top ten Foreign Corrupt Practices Act (FCPA) enforcement actions in the Asia-Pacific region during 2021, despite a general decrease in US corporate enforcement actions. It highlights three corporate cases with an Asia-Pacific nexus, several individual enforcement actions, whistleblower awards, new investigations, declinations, and DPA closures. The article also discusses relevant developments in anti-corruption efforts in China and the US, underscoring the ongoing relevance of the Asia-Pacific region in FCPA compliance.",-0.088227,0.603994
20220111T151549,Connect and Use Your OT Cybersecurity Insights with APIs,"This article announces updates to Cisco Cyber Vision (version 4.0), making it more developer-friendly with an updated API and new sample scripts. The enhancements include a DevNet Cyber Vision Sandbox, new learning labs, a Postman collection for the API, and three new script collections for security integration, automatic grouping, and sensor management with Ansible. These tools aim to help developers leverage industrial cybersecurity data more effectively.",0.440393,1.0
20220112T151833,BigPanda Raises $190 Million in Funding at $1.2 Billion Valuation,"BigPanda, a leader in AIOps Event Correlation and Automation, announced a new funding round of $190 million, valuing the company at $1.2 billion. The funding, led by Advent International and Insight Partners, will be used to innovate AIOps capabilities, scale go-to-market activities, and potentially make strategic acquisitions. The company has seen significant growth, with 2021 sales increasing by 155% year-over-year, reflecting the growing demand for AI-powered IT operations solutions.",0.254021,0.645256
20220112T162722,Ten Leading Universities in China Join Cisco Networking Academy Program,"Cisco Systems has expanded its Networking Academy program into China by launching ten new regional academies in cooperation with ten tertiary institutions under CERNET. This initiative aims to address the shortage of skilled IT professionals in China and equip young individuals with valuable networking skills for the Internet Age. The program, known for its vendor-independent and web-based curriculum, is expected to involve over 500 schools and colleges across Asia by the end of 1999.",0.402877,1.0
20220114T150838,DevOps Tool Market 2022 Outstanding Growth Scope Witnessed,"The global DevOps Tool market is projected to reach USD 6881.6 million by 2026, growing from USD 4092.1 million in 2020 at a CAGR of 13.9% over five years. This report by Infinity Business Insights analyzes key players, market trends, and the impact of COVID-19, providing insights for investors and businesses to achieve market growth. The study covers product types like DevOps Ready, Enabled, and Capable, and applications across various sectors including IT, Telecom, BFSI, and Government.",0.32505,0.644772
20220119T151549,Cisco CEO Says U.S. Needs to Find a Way to Coexist With China,Cisco Systems Inc. CEO Chuck Robbins stated that the U.S. and Chinese governments should find a way to coexist. This recommendation comes as President Joe Biden is developing a new strategy for managing relations with China. Robbins emphasized the need to reduce tensions between the two nations.,0.144548,1.0
20220119T151550,Protecting Secrets / Variables Using HashiCorp Vault Secret Manager,"This article explains how to protect sensitive variables and secrets using HashiCorp Vault, specifically in the context of integrating Cisco ASD and Sonatype Nexus Repository. It covers the basic installation and configuration of a Vault Dev Server, demonstrates how to store secrets, and provides a Python script to retrieve them. The author emphasizes that the described method is for development and not recommended for production environments due to the use of a root token.",0.311479,0.902276
20220120T151549,Cisco Expands Enterprise-Grade Switching Capabilities into Industrial Networks to Modernize and Secure Critical Infrastructure,"Cisco has announced an expansion of its Catalyst 9000 portfolio, introducing the Catalyst Industrial Ethernet 9300 switch to bring enterprise-grade switching capabilities to industrial environments. This new solution aims to improve reliability, security, and scalability for critical infrastructure sectors such as utilities, oil and gas, and transportation. The Catalyst IE9300 integrates IT and OT networks, offering advanced features like zero-trust security and high port density, enabling modernization and enhanced protection against cyber threats in operational spaces.",0.257327,1.0
20220120T162722,Cisco Introduces New Catalyst IE9300 switch,Cisco has,0.328287,1.0
20220123T152945,Will 2022 be the year that SASE comes of age?,"The article discusses the evolution and increasing importance of Secure Access Service Edge (SASE) architecture since its inception in 2019. It highlights how SASE, which converges security and WAN infrastructure, is becoming a customer priority, especially for hybrid work environments, due to its ability to secure access to applications from any location and its zero-trust network principles. While SASE is still evolving, companies like Cisco are already offering components of this architecture, leading to measurable threat reduction.",0.235932,0.899933
20220125T151550,Cisco’s Catalyst IE9300 powers next-gen substation automation,"Cisco's Catalyst IE9300 Rugged Series Switch is designed to modernize substation automation by addressing critical needs like performance at scale, cyber threat detection, and enterprise-grade management. This high-density fiber switch, along with the Catalyst IR8300 Rugged Series Router, provides a validated architecture that unifies substation LAN and WAN, enhancing performance, security, and scalability for the digitized utility grid. The solution supports industry protocols and application hosting, helping utilities improve operations and reliability while reducing risk.",0.422371,1.0
20220125T153032,Juniper Networks’ Next-Gen Silicon ‘Not In Same Ballpark’ As Cisco Silicon One,"Juniper Networks is introducing new additions to its MX Series routing portfolio, a new networking chipset generation (Trio 6), and the Juniper Express 5 silicon, directly competing with Cisco Silicon One. Speaking about the new releases, Brendan Gibbs, VP of Automated WAN Solutions at Juniper Networks, highlighted the Express 5 silicon's superior throughput of 28.8 terabits compared to Cisco's 19.2 terabits, along with better power efficiency. Gibbs also emphasized the Trio 6's optimized intelligence for multi-service edge usage, positioning Juniper's purpose-built ASICs as superior to competitors' single-chip solutions.",0.167399,0.849233
20220126T151549,Privacy and human rights in an AI world,"Cisco's 2022 Data Privacy Benchmark Study reveals that data privacy is a business imperative, with 90% of respondents seeing it as crucial and unwilling to buy from organizations that don't protect data. The study, based on a survey of 4,900 security and IT professionals, also highlights concerns about AI usage, with 56% worried about how businesses use AI for automated decisions. Cisco is addressing these concerns by establishing responsible AI standards guided by principles of transparency, fairness, accountability, privacy, security, and reliability.",0.483335,1.0
20220126T151550,How the International Youth Foundation and Cisco Networking Academy are providing digital skills development in Mexico,"The International Youth Foundation (IYF) and Cisco Networking Academy are collaborating to address the digital skills gap in Mexico, particularly within the IT sector. Through this partnership, they have provided digital skills development to 15,000 students at CONALEP campuses, resulting in a job attainment rate higher than 70% for graduates. This initiative aims to equip young people with relevant skills for future workforces and potentially influence public policy for vocational schools across Mexico.",0.483193,1.0
