time_published,title,summary,overall_sentiment_score,relevance_score
20220104T174631,Giant US chipmaker eyes Arizona for $40 billion-plus plant,"A major U.S. chipmaker, potentially Micron Technology Inc. (MU), is reportedly considering Arizona as the location for a new plant that could cost over $40 billion and create up to 10,000 jobs. This move comes as companies are striving to address the global semiconductor shortage, making Arizona a strong contender for significant manufacturing investment.",0.47906,1.0
20220105T140200,Micron stock on track for first record close since 2000,"Micron Technology Inc.'s stock is poised to achieve its first record close in over two decades, potentially surpassing its July 2000 high. Shares were trading at $96.78, putting them on track to beat the previous record of $96.56. This comes as memory trends are expected to improve, with one analyst expressing optimism for a bottom in February.",0.6231,1.0
20220105T164300,"Semiconductor giant Micron scouts Central Texas for major factory, sources say","Micron Technology Inc. is considering Central Texas for a massive fabrication facility as part of its plan to invest over $150 billion in expanding its chipmaking capabilities over the next decade. While no final decision has been made, this investment could reportedly reach $40 billion in the region. Other states are also under consideration for the factory.",0.167569,1.0
20220106T180700,Micron Technology searches for site for $40B factory. Is Boise among the contenders?,"Micron Technology is reportedly scouting locations for a new $40 billion manufacturing plant, with sites in Arizona, California, Texas, and North Carolina under consideration, though Boise is apparently not on the list. This search is part of Micron's larger plan to invest over $150 billion in chip production over 10 years to address a global chip shortage and meet growing demand driven by AI, 5G, and autonomous vehicles. The company is evaluating locations based on factors like site availability, talent pool, utility services, sustainability, and regulatory environment, with a focus on domestic production potentially spurred by the CHIPS Act.",0.145649,0.987089
20220106T183100,"Micron scouting Central Texas for fabrication plant, report says","Micron, a computer chip giant, is reportedly scouting locations in Central Texas, specifically Williamson and Caldwell counties, for a new fabrication plant. This potential investment could be worth an estimated $40 billion and create 5,000 to 10,000 new jobs. The news follows Samsung's announcement in November to build a chip facility in Taylor, Texas, further signaling Central Texas as a growing hub for semiconductor manufacturing.",0.329956,1.0
20220110T153600,Intel hired a new chief financial officer and promoted another executive,"Intel has appointed David Zinsner, previously CFO at Micron, as its new chief financial officer. Additionally, Michelle Johnston Holthaus has been promoted to lead Intel's largest business division. This move comes as Intel continues to navigate changes in its executive leadership.",0.169562,0.713113
20220110T214900,Intel Gains After Recruiting Micron’s David Zinsner as Its Next CFO,"Intel Corp. stock rallied after announcing the appointment of David Zinsner, previously CFO of Micron Technology Inc., as its new Chief Financial Officer. Zinsner will replace the retiring George Davis and will report to CEO Pat Gelsinger, tasked with overseeing the company’s finances as it aims to regain its prominence in the semiconductor industry. He is set to begin his new role on January 17th.",0.275383,0.878485
20220112T153600,Micron’s new budget SSD could be the ultimate HDD-killer,"Micron has introduced 176-layer QLC NAND flash, enabling higher-capacity SSDs at more affordable price points. This technology is expected to triple QLC adoption in consumer markets by 2023 and could eliminate hard disk drives from budget laptops and desktops. The new Micron 2400 PCIe 4.0 NVMe SSD, featuring this NAND, offers competitive performance for consumer devices and will eventually be incorporated into consumer-level Crucial SSDs.",0.439121,1.0
20220113T053500,TSMC to Spend at Least $40 Billion to Address Chip Shortage,"Taiwan Semiconductor Manufacturing Co. (TSMC) announced plans to spend between $40 billion and $44 billion in 2022 to expand and upgrade its capacity, addressing the persistent global chip shortage. The company also raised its annual sales growth projections to 15% to 20%, reflecting continued strong demand for semiconductors. This significant investment highlights the expectation that the high demand for chips will continue for several years.",0.303092,0.607771
20220113T153221,投资指南：2022年的5只精选区块链ETF,这篇文章介绍了2022年值得关注的五只精选区块链ETF，为普通投资者提供了投资区块链和加密货币类上市公司的途径。文章详细分析了每只ETF的资产规模、持股重点、费用率以及成立以来的业绩表现，旨在帮助投资者根据自身需求选择合适的区块链投资产品。,0.10251,0.727429
